date,downloads
2022-07-14,304318
2022-07-15,281769
2022-07-16,151295
2022-07-17,132563
2022-07-18,296557
2022-07-19,325709
2022-07-20,312587
2022-07-21,309911
2022-07-22,283421
2022-07-23,160392
2022-07-24,139705
2022-07-25,311677
2022-07-26,324913
2022-07-27,332876
2022-07-28,321582
2022-07-29,304663
2022-07-30,142063
2022-07-31,143077
2022-08-01,305125
2022-08-02,355213
2022-08-03,334228
2022-08-04,317584
2022-08-05,300316
2022-08-06,155796
2022-08-07,147256
2022-08-08,311872
2022-08-09,329730
2022-08-10,335484
2022-08-11,312947
2022-08-12,300589
2022-08-13,152913
2022-08-14,140918
2022-08-15,269021
2022-08-16,327234
2022-08-17,324539
2022-08-18,308451
2022-08-19,289764
2022-08-20,151098
2022-08-21,145143
2022-08-22,304735
2022-08-23,324674
2022-08-24,311799
2022-08-25,319820
2022-08-26,314174
2022-08-27,149634
2022-08-28,141576
2022-08-29,316239
2022-08-30,346922
2022-08-31,347706
2022-09-01,356959
2022-09-02,323835
2022-09-03,176768
2022-09-04,159957
2022-09-05,295901
2022-09-06,350047
2022-09-07,385954
2022-09-08,378377
2022-09-09,344116
2022-09-10,170497
2022-09-11,174561
2022-09-12,363960
2022-09-13,373698
2022-09-14,394101
2022-09-15,393815
2022-09-16,356081
2022-09-17,180038
2022-09-18,174834
2022-09-19,348339
2022-09-20,384025
2022-09-21,388885
2022-09-22,375912
2022-09-23,360079
2022-09-24,171557
2022-09-25,163284
2022-09-26,366855
2022-09-27,383573
2022-09-28,386361
2022-09-29,412499
2022-09-30,375082
2022-10-01,192316
2022-10-02,188973
2022-10-03,375456
2022-10-04,406309
2022-10-05,412547
2022-10-06,434927
2022-10-07,403096
2022-10-08,224832
2022-10-09,215951
2022-10-10,374199
2022-10-11,410592
2022-10-12,422120
2022-10-13,445952
2022-10-14,395891
2022-10-15,225369
2022-10-16,213188
2022-10-17,435454
2022-10-18,449414
2022-10-19,444896
2022-10-20,451994
2022-10-21,397056
2022-10-22,219621
2022-10-23,222399
2022-10-24,396910
2022-10-25,431100
2022-10-26,424609
2022-10-27,408744
2022-10-28,392089
2022-10-29,219946
2022-10-30,200640
2022-10-31,412259
2022-11-01,394157
2022-11-02,419202
2022-11-03,423947
2022-11-04,398889
2022-11-05,213771
2022-11-06,202442
2022-11-07,398767
2022-11-08,416044
2022-11-09,411937
2022-11-10,413368
2022-11-11,347300
2022-11-12,197218
2022-11-13,193239
2022-11-14,406791
2022-11-15,417086
2022-11-16,430603
2022-11-17,427424
2022-11-18,409950
2022-11-19,208789
2022-11-20,202664
2022-11-21,402562
2022-11-22,408644
2022-11-23,396105
2022-11-24,350078
2022-11-25,325870
2022-11-26,191970
2022-11-27,196354
2022-11-28,414059
2022-11-29,425215
2022-11-30,428358
2022-12-01,429749
2022-12-02,396650
2022-12-03,204171
2022-12-04,193644
2022-12-05,397977
2022-12-06,463319
2022-12-07,460754
2022-12-08,455756
2022-12-09,419983
2022-12-10,201338
2022-12-11,188326
2022-12-12,412643
2022-12-13,435686
2022-12-14,433042
2022-12-15,413238
2022-12-16,369193
2022-12-17,182184
2022-12-18,173267
2022-12-19,376566
2022-12-20,400994
2022-12-21,399074
2022-12-22,391940
2022-12-23,309781
2022-12-24,162491
2022-12-25,154171
2022-12-26,223318
2022-12-27,267282
2022-12-28,271311
2022-12-29,279382
2022-12-30,251900
2022-12-31,154379
2023-01-01,170019
2023-01-02,265592
2023-01-03,358509
2023-01-04,397071
2023-01-05,392789
2023-01-06,405483
2023-01-07,181886
2023-01-08,174070
2023-01-09,427770
2023-01-10,450291
