date,downloads
2022-07-14,2627703
2022-07-15,2443516
2022-07-16,2164912
2022-07-17,2186510
2022-07-18,2821601
2022-07-19,2859208
2022-07-20,2825931
2022-07-21,2792575
2022-07-22,2503561
2022-07-23,1964813
2022-07-24,1838445
2022-07-25,2387784
2022-07-26,2621584
2022-07-27,2794229
2022-07-28,2822876
2022-07-29,2621936
2022-07-30,1917137
2022-07-31,2420728
2022-08-01,2987889
2022-08-02,3240919
2022-08-03,3324660
2022-08-04,3345751
2022-08-05,3228794
2022-08-06,2601318
2022-08-07,2647864
2022-08-08,3307945
2022-08-09,3473297
2022-08-10,3428944
2022-08-11,3346852
2022-08-12,3196083
2022-08-13,2645460
2022-08-14,2601383
2022-08-15,3114579
2022-08-16,3321251
2022-08-17,3417827
2022-08-18,3424161
2022-08-19,3334258
2022-08-20,2681668
2022-08-21,2831008
2022-08-22,3393769
2022-08-23,3507601
2022-08-24,3718705
2022-08-25,3426826
2022-08-26,3210966
2022-08-27,2229371
2022-08-28,2261002
2022-08-29,3039976
2022-08-30,3380379
2022-08-31,4364652
2022-09-01,4099047
2022-09-02,4032688
2022-09-03,3124239
2022-09-04,3239667
2022-09-05,3599911
2022-09-06,3909142
2022-09-07,4412132
2022-09-08,3965729
2022-09-09,3588937
2022-09-10,2288015
2022-09-11,2796607
2022-09-12,4079513
2022-09-13,4189633
2022-09-14,4368780
2022-09-15,4007493
2022-09-16,4024483
2022-09-17,3282088
2022-09-18,3247847
2022-09-19,3411725
2022-09-20,4004271
2022-09-21,4182572
2022-09-22,3887671
2022-09-23,3782647
2022-09-24,3205257
2022-09-25,3149504
2022-09-26,3890769
2022-09-27,3999109
2022-09-28,4147272
2022-09-29,4114370
2022-09-30,3843058
2022-10-01,3324793
2022-10-02,3232681
2022-10-03,3927472
2022-10-04,3966257
2022-10-05,4009434
2022-10-06,4095916
2022-10-07,3911782
2022-10-08,3237718
2022-10-09,3217810
2022-10-10,3767131
2022-10-11,3957786
2022-10-12,4163173
2022-10-13,3959990
2022-10-14,3859408
2022-10-15,3214895
2022-10-16,3208754
2022-10-17,4073626
2022-10-18,3989911
2022-10-19,4138508
2022-10-20,3782852
2022-10-21,3669704
2022-10-22,3158768
2022-10-23,3135332
2022-10-24,3730092
2022-10-25,3728758
2022-10-26,3811225
2022-10-27,3658999
2022-10-28,3537292
2022-10-29,2954584
2022-10-30,2951044
2022-10-31,3803131
2022-11-01,3605565
2022-11-02,3737148
2022-11-03,3604620
2022-11-04,3553820
2022-11-05,3264627
2022-11-06,3064556
2022-11-07,3631954
2022-11-08,3742041
2022-11-09,3814499
2022-11-10,3769056
2022-11-11,3484423
2022-11-12,2971268
2022-11-13,3011185
2022-11-14,3706611
2022-11-15,3704615
2022-11-16,3699563
2022-11-17,3782356
2022-11-18,3542906
2022-11-19,3025750
2022-11-20,3057714
2022-11-21,3656738
2022-11-22,3739303
2022-11-23,2674297
2022-11-24,2328557
2022-11-25,2140138
2022-11-26,1800862
2022-11-27,1860707
2022-11-28,2576591
2022-11-29,2742647
2022-11-30,2714917
2022-12-01,2621741
2022-12-02,2417353
2022-12-03,1910118
2022-12-04,1762501
2022-12-05,2429907
2022-12-06,2518071
2022-12-07,2606973
2022-12-08,2648421
2022-12-09,2473830
2022-12-10,1825907
2022-12-11,1777163
2022-12-12,2433275
2022-12-13,2584783
2022-12-14,2665661
2022-12-15,2463043
2022-12-16,2257883
2022-12-17,1851774
2022-12-18,1697047
2022-12-19,2440069
2022-12-20,2371776
2022-12-21,2577231
2022-12-22,2582581
2022-12-23,2024673
2022-12-24,1716065
2022-12-25,1653995
2022-12-26,1846200
2022-12-27,1924318
2022-12-28,2156295
2022-12-29,1954813
2022-12-30,1994962
2022-12-31,1697338
2023-01-01,1735076
2023-01-02,1909064
2023-01-03,2253554
2023-01-04,2520120
2023-01-05,2590295
2023-01-06,2362047
2023-01-07,1909410
2023-01-08,1727410
2023-01-09,2518080
2023-01-10,2555724
