date,downloads
2022-07-14,8323743
2022-07-15,7878019
2022-07-16,5198291
2022-07-17,5153962
2022-07-18,8236409
2022-07-19,8676249
2022-07-20,8437794
2022-07-21,8472065
2022-07-22,8177751
2022-07-23,5265695
2022-07-24,5047999
2022-07-25,8310014
2022-07-26,8850063
2022-07-27,8724612
2022-07-28,8684097
2022-07-29,8296901
2022-07-30,5263844
2022-07-31,5380554
2022-08-01,8418434
2022-08-02,8835764
2022-08-03,8905040
2022-08-04,8827059
2022-08-05,8615544
2022-08-06,5481535
2022-08-07,5357107
2022-08-08,8492364
2022-08-09,8925698
2022-08-10,8759745
2022-08-11,8823089
2022-08-12,8256594
2022-08-13,5427722
2022-08-14,5188051
2022-08-15,7825518
2022-08-16,8706836
2022-08-17,8583601
2022-08-18,8542639
2022-08-19,8489724
2022-08-20,5560841
2022-08-21,5471821
2022-08-22,8620710
2022-08-23,8844070
2022-08-24,8868258
2022-08-25,8936580
2022-08-26,8543130
2022-08-27,5941756
2022-08-28,5146777
2022-08-29,8054889
2022-08-30,8575227
2022-08-31,9324266
2022-09-01,9559005
2022-09-02,9017854
2022-09-03,6433083
2022-09-04,6093343
2022-09-05,8252919
2022-09-06,9127871
2022-09-07,9175144
2022-09-08,8630665
2022-09-09,8098464
2022-09-10,4917237
2022-09-11,4959458
2022-09-12,8127883
2022-09-13,8637730
2022-09-14,8756891
2022-09-15,8589852
2022-09-16,8295462
2022-09-17,5231368
2022-09-18,4979708
2022-09-19,7927911
2022-09-20,8528966
2022-09-21,8801442
2022-09-22,8435075
2022-09-23,7958463
2022-09-24,5241011
2022-09-25,5150068
2022-09-26,8231891
2022-09-27,8867831
2022-09-28,8996846
2022-09-29,8956044
2022-09-30,8185282
2022-10-01,5765435
2022-10-02,5326932
2022-10-03,8429674
2022-10-04,8714972
2022-10-05,8414515
2022-10-06,8812822
2022-10-07,8350247
2022-10-08,5600226
2022-10-09,5517977
2022-10-10,8126837
2022-10-11,8771037
2022-10-12,8393947
2022-10-13,8825114
2022-10-14,8249622
2022-10-15,5594110
2022-10-16,5589105
2022-10-17,9099376
2022-10-18,8989384
2022-10-19,8964972
2022-10-20,8954240
2022-10-21,8673214
2022-10-22,5823532
2022-10-23,5436066
2022-10-24,8444682
2022-10-25,8932015
2022-10-26,8756321
2022-10-27,8901254
2022-10-28,8273321
2022-10-29,5463834
2022-10-30,5331679
2022-10-31,8867142
2022-11-01,8528498
2022-11-02,8434689
2022-11-03,8802229
2022-11-04,8511297
2022-11-05,5744155
2022-11-06,5628555
2022-11-07,8640884
2022-11-08,9078114
2022-11-09,9060427
2022-11-10,9027755
2022-11-11,8113812
2022-11-12,5529820
2022-11-13,5462411
2022-11-14,8589104
2022-11-15,8902460
2022-11-16,9101201
2022-11-17,9154712
2022-11-18,8612080
2022-11-19,5710513
2022-11-20,5694059
2022-11-21,8831429
2022-11-22,9111140
2022-11-23,8566873
2022-11-24,7619903
2022-11-25,7862486
2022-11-26,6459247
2022-11-27,6576049
2022-11-28,9864285
2022-11-29,10175936
2022-11-30,10236499
2022-12-01,10191999
2022-12-02,9579650
2022-12-03,6985150
2022-12-04,6572262
2022-12-05,10145742
2022-12-06,10380498
2022-12-07,10569831
2022-12-08,10419357
2022-12-09,9711286
2022-12-10,6674473
2022-12-11,6653536
2022-12-12,10061747
2022-12-13,10483388
2022-12-14,10397866
2022-12-15,10222796
2022-12-16,9719115
2022-12-17,6809531
2022-12-18,6712388
2022-12-19,9911313
2022-12-20,9783605
2022-12-21,9982190
2022-12-22,9689031
2022-12-23,8590685
2022-12-24,6284708
2022-12-25,6136002
2022-12-26,7501821
2022-12-27,8044785
2022-12-28,8230828
2022-12-29,8100308
2022-12-30,8201819
2022-12-31,6220214
2023-01-01,6264959
2023-01-02,7744688
2023-01-03,9127283
2023-01-04,9709794
2023-01-05,10448299
2023-01-06,9499103
2023-01-07,6909902
2023-01-08,6641507
2023-01-09,10084713
2023-01-10,10405584
