date,downloads
2022-07-14,525966
2022-07-15,521781
2022-07-16,382802
2022-07-17,358414
2022-07-18,474303
2022-07-19,524499
2022-07-20,537018
2022-07-21,583530
2022-07-22,557131
2022-07-23,383440
2022-07-24,372026
2022-07-25,520717
2022-07-26,527440
2022-07-27,530583
2022-07-28,495469
2022-07-29,528297
2022-07-30,364731
2022-07-31,356986
2022-08-01,497277
2022-08-02,517983
2022-08-03,511898
2022-08-04,528869
2022-08-05,495543
2022-08-06,347448
2022-08-07,329770
2022-08-08,467754
2022-08-09,463468
2022-08-10,482839
2022-08-11,469621
2022-08-12,495139
2022-08-13,332513
2022-08-14,333014
2022-08-15,438771
2022-08-16,495764
2022-08-17,483524
2022-08-18,490234
2022-08-19,509933
2022-08-20,382590
2022-08-21,349332
2022-08-22,479349
2022-08-23,505295
2022-08-24,474152
2022-08-25,501344
2022-08-26,487429
2022-08-27,352814
2022-08-28,348051
2022-08-29,483404
2022-08-30,486649
2022-08-31,522281
2022-09-01,548963
2022-09-02,480815
2022-09-03,375272
2022-09-04,359479
2022-09-05,427543
2022-09-06,526343
2022-09-07,619403
2022-09-08,550764
2022-09-09,522410
2022-09-10,410605
2022-09-11,424252
2022-09-12,534778
2022-09-13,551622
2022-09-14,621232
2022-09-15,624581
2022-09-16,620137
2022-09-17,543102
2022-09-18,400606
2022-09-19,530278
2022-09-20,625001
2022-09-21,588298
2022-09-22,526695
2022-09-23,544268
2022-09-24,423843
2022-09-25,403710
2022-09-26,557637
2022-09-27,566247
2022-09-28,545515
2022-09-29,572885
2022-09-30,543980
2022-10-01,408218
2022-10-02,407842
2022-10-03,513051
2022-10-04,542588
2022-10-05,539929
2022-10-06,584655
2022-10-07,540452
2022-10-08,426653
2022-10-09,386603
2022-10-10,531640
2022-10-11,563449
2022-10-12,566761
2022-10-13,553337
2022-10-14,546265
2022-10-15,421242
2022-10-16,520580
2022-10-17,573470
2022-10-18,543831
2022-10-19,589329
2022-10-20,575340
2022-10-21,570793
2022-10-22,440797
2022-10-23,398552
2022-10-24,548595
2022-10-25,560629
2022-10-26,580732
2022-10-27,549316
2022-10-28,530806
2022-10-29,416419
2022-10-30,394660
2022-10-31,534550
2022-11-01,550355
2022-11-02,559046
2022-11-03,519087
2022-11-04,527099
2022-11-05,445566
2022-11-06,418390
2022-11-07,566943
2022-11-08,599490
2022-11-09,548835
2022-11-10,534861
2022-11-11,474993
2022-11-12,427894
2022-11-13,399264
2022-11-14,525661
2022-11-15,591793
2022-11-16,563698
2022-11-17,584088
2022-11-18,568188
2022-11-19,427269
2022-11-20,412695
2022-11-21,577499
2022-11-22,561634
2022-11-23,547123
2022-11-24,521854
2022-11-25,490193
2022-11-26,354114
2022-11-27,385159
2022-11-28,537334
2022-11-29,565641
2022-11-30,566978
2022-12-01,554842
2022-12-02,510240
2022-12-03,399918
2022-12-04,363918
2022-12-05,546270
2022-12-06,605136
2022-12-07,639496
2022-12-08,605689
2022-12-09,521314
2022-12-10,432919
2022-12-11,393775
2022-12-12,573162
2022-12-13,597679
2022-12-14,631366
2022-12-15,613787
2022-12-16,568715
2022-12-17,432645
2022-12-18,439174
2022-12-19,561306
2022-12-20,591593
2022-12-21,625923
2022-12-22,604834
2022-12-23,488208
2022-12-24,394931
2022-12-25,381476
2022-12-26,427138
2022-12-27,458832
2022-12-28,504689
2022-12-29,454832
2022-12-30,471310
2022-12-31,386828
2023-01-01,399443
2023-01-02,435432
2023-01-03,528854
2023-01-04,550510
2023-01-05,617005
2023-01-06,526833
2023-01-07,447605
2023-01-08,428533
2023-01-09,564398
2023-01-10,599278
